Team,ERA,AVG,OBP,OPS,H,R,ER,HR,BB,SO,AVG_BATTING,OBS_BATTING,AB_BATTING,R_BATTING,H_BATTING,2B_BATTING,3B_BATTING,HR_BATTING,BB_BATTING,SO_BATTING,W,L,W/L %,Playoffs
 NY Mets 2017,5.01,0.273,0.345,0.794,1538,863,799,220,593,1374,0.25,0.755,5510,735,1379,286,28,224,529,1291,70,92,0.432,No
 NY Yankees 2017,3.73,0.228,0.298,0.68,1248,660,600,192,504,1560,0.262,0.785,5594,858,1463,266,23,241,616,1386,91,71,0.562,Yes
 Oakland 2017,4.67,0.261,0.327,0.765,1444,826,743,210,502,1202,0.246,0.755,5464,739,1344,305,15,234,565,1491,75,87,0.463,No
 Philadelphia 2017,4.55,0.265,0.333,0.78,1471,782,729,221,527,1309,0.25,0.723,5535,690,1382,287,36,174,494,1417,66,96,0.407,No
 Pittsburgh 2017,4.22,0.264,0.33,0.761,1464,731,676,182,511,1262,0.244,0.704,5458,668,1331,249,36,151,519,1213,75,87,0.463,No
 San Diego 2017,4.67,0.259,0.333,0.774,1417,816,742,226,554,1325,0.234,0.692,5356,604,1251,227,31,189,460,1499,71,91,0.438,No
 San Francisco 2017,4.5,0.268,0.331,0.768,1515,776,726,182,496,1234,0.249,0.689,5551,639,1382,287,28,128,467,1204,64,98,0.395,No
 Seattle 2017,4.46,0.254,0.318,0.754,1399,772,713,237,490,1244,0.259,0.749,5551,750,1436,281,17,200,487,1267,78,84,0.481,No
 St. Louis 2017,4.01,0.253,0.32,0.731,1393,705,646,183,493,1351,0.256,0.76,5470,761,1402,284,28,196,593,1348,83,79,0.512,No
 Tampa Bay 2017,3.99,0.242,0.309,0.711,1324,704,640,193,503,1352,0.245,0.739,5478,694,1340,226,32,228,545,1538,80,82,0.494,No
 Texas 2017,4.69,0.261,0.335,0.769,1443,816,747,214,559,1107,0.244,0.75,5430,799,1326,255,21,237,544,1493,78,84,0.481,No
 Toronto 2017,4.42,0.258,0.326,0.756,1460,784,720,203,549,1372,0.24,0.724,5499,693,1320,269,5,222,542,1327,76,86,0.469,No
 Washington 2017,3.88,0.239,0.308,0.703,1300,672,624,189,495,1457,0.266,0.782,5553,819,1477,311,31,215,542,1327,97,65,0.599,Yes
 Arizona 2016,5.09,0.275,0.348,0.801,1563,890,821,202,603,1318,0.261,0.752,5665,752,1479,285,56,190,463,1427,69,93,0.426,No
 Atlanta 2016,4.51,0.256,0.328,0.744,1414,779,725,177,547,1227,0.255,0.705,5514,649,1404,295,27,122,502,1240,68,93,0.422,No
 Baltimore 2016,4.22,0.258,0.328,0.75,1408,715,671,183,545,1248,0.256,0.76,5524,744,1413,265,6,253,468,1324,89,73,0.549,Yes
 Boston 2016,4,0.246,0.314,0.711,1342,694,640,176,490,1362,0.282,0.81,5670,878,1598,343,25,208,558,1160,93,69,0.574,Yes
 Chi. Cubs 2016,3.15,0.212,0.285,0.633,1125,556,511,163,495,1441,0.256,0.772,5503,808,1409,293,30,199,656,1339,103,58,0.64,Yes
 Chi. White Sox 2016,4.1,0.257,0.326,0.746,1422,715,659,185,521,1270,0.257,0.727,5550,686,1428,277,33,168,455,1285,78,84,0.481,No
 Cincinnati 2016,4.89,0.263,0.345,0.801,1457,854,783,258,636,1241,0.256,0.724,5487,716,1403,277,33,164,452,1284,68,94,0.42,No
 Cleveland 2016,3.84,0.243,0.304,0.71,1330,676,617,186,461,1398,0.262,0.759,5484,777,1435,308,29,185,531,1246,94,67,0.584,Yes
 Colorado 2016,4.91,0.274,0.345,0.79,1532,860,780,181,547,1223,0.275,0.794,5614,845,1544,318,47,204,494,1330,75,87,0.463,No
 Detroit 2016,4.24,0.26,0.32,0.741,1417,721,672,182,462,1232,0.267,0.769,5526,750,1476,252,30,211,493,1303,86,75,0.534,No
Houston 2016,4.06,0.256,0.314,0.737,1441,701,663,181,453,1396,0.247,0.735,5545,724,1367,291,29,198,554,1452,84,78,0.519,No
 Kansas City 2016,4.21,0.259,0.327,0.75,1433,712,674,206,517,1287,0.261,0.712,5552,675,1450,264,33,147,382,1224,81,81,0.5,No
 LA Angels 2016,4.28,0.269,0.334,0.774,1480,727,676,208,498,1136,0.26,0.726,5431,717,1410,279,20,156,471,991,74,88,0.457,No
 LA Dodgers 2016,3.7,0.233,0.298,0.674,1266,638,598,165,464,1510,0.249,0.728,5518,725,1376,272,21,189,525,1321,91,71,0.562,Yes
 Miami 2016,4.05,0.251,0.329,0.724,1358,682,646,152,595,1379,0.263,0.716,5547,655,1460,259,42,128,447,1213,79,82,0.491,No
 Milwaukee 2016,4.08,0.263,0.333,0.76,1450,733,650,178,532,1175,0.244,0.729,5330,671,1299,249,19,194,599,1543,73,89,0.451,No
 Minnesota 2016,5.08,0.283,0.34,0.806,1617,889,814,221,479,1191,0.251,0.737,5618,722,1409,288,34,200,513,1426,59,103,0.364,No
 NY Mets 2016,3.57,0.254,0.311,0.706,1397,617,574,152,439,1396,0.246,0.733,5459,671,1342,240,19,218,517,1302,87,75,0.537,Yes
 NY Yankees 2016,4.16,0.248,0.31,0.734,1358,702,660,214,444,1393,0.252,0.72,5458,680,1378,245,20,183,475,1188,84,78,0.519,No
 Oakland 2016,4.51,0.263,0.322,0.744,1459,761,718,185,464,1188,0.246,0.699,5500,653,1352,270,21,169,442,1145,69,93,0.426,No
 Philadelphia 2016,4.63,0.265,0.325,0.773,1468,796,739,213,466,1299,0.24,0.685,5434,610,1305,231,35,161,424,1376,71,91,0.438,No
 Pittsburgh 2016,4.21,0.267,0.336,0.772,1490,758,679,180,533,1232,0.257,0.734,5542,729,1426,277,32,153,561,1334,78,83,0.484,No
 San Diego 2016,4.43,0.258,0.33,0.753,1425,770,708,183,569,1222,0.235,0.689,5419,686,1275,257,26,177,449,1500,68,94,0.42,No
 San Francisco 2016,3.65,0.243,0.303,0.695,1334,631,593,158,439,1309,0.258,0.728,5565,715,1437,280,54,130,572,1107,87,75,0.537,Yes
 Seattle 2016,4,0.253,0.314,0.739,1410,707,647,213,460,1318,0.259,0.756,5583,768,1446,251,17,223,506,1288,86,76,0.531,No
 St. Louis 2016,4.06,0.258,0.32,0.722,1432,712,654,159,475,1290,0.255,0.767,5548,779,1415,299,32,225,526,1318,86,76,0.531,No
 Tampa Bay 2016,4.2,0.255,0.318,0.734,1395,713,665,210,491,1357,0.243,0.733,5481,672,1333,288,32,216,449,1482,68,94,0.42,No
 Texas 2016,4.37,0.26,0.329,0.753,1441,757,700,201,534,1154,0.262,0.755,5525,765,1446,257,23,215,436,1220,95,67,0.586,Yes
 Toronto 2016,3.78,0.242,0.305,0.703,1340,666,613,183,461,1314,0.248,0.755,5479,759,1358,276,18,221,632,1362,89,73,0.549,Yes
 Washington 2016,3.51,0.234,0.3,0.677,1272,612,570,155,468,1476,0.256,0.751,5490,763,1403,268,29,203,536,1252,95,67,0.586,Yes
